"country","year","parent_company","empty","hdpe","ldpe","o","pet","pp","ps","pvc","grand_total","total","num_events","volunteers","id","document.id","array.index","gdp","sex_ratio","surface_area","life_expectancy_male","unemployment","imports","homicide_rate","iso2","employment_services","employment_industry","urban_population_growth","secondary_school_enrollment_female","employment_agriculture","capital","co2_emissions","forested_area","tourists","exports","life_expectancy_female","post_secondary_enrollment_female","post_secondary_enrollment_male","primary_school_enrollment_female","infant_mortality","gdp_growth","threatened_species","population","urban_population","secondary_school_enrollment_male","name","pop_growth","region","pop_density","internet_users","gdp_per_capita","fertility","refugees","primary_school_enrollment_male","currency.code","currency.name","isoa2","AreaPerCap","AreaTotHA","BiocapPerCap","BiocapTotGHA","Earths","EFConsPerCap","EFConsTotGHA","EFExportsPerCap","EFExportsTotGHA","EFImportsPerCap","EFImportsTotGHA","EFProdPerCap","EFProdTotGHA","GDP-PPP","GDP-USD","HDI","Population","api_country"
"Argentina",2019,"Grand Total",0,215,55,607,1376,281,116,18,2668,2668,4,243,"1",1,1,518475,95.3,2780400,73,10.4,49125,5.3,"AR",78.9,21,1.2,111,0.1,"Buenos Aires",183.4,9.9,6942,65114,79.8,112.8,67.8,109.6,10.2,-2.5,285,45196,92,106.5,"Argentina",1,"South America",16.5,74.3,11687.6,2.3,165.6,109.9,"ARS","Argentine Peso","AR",5.13367511037248,229708859.651172,6.02842845771898,269745045.554865,2.14903843158842,3.31650662399365,148398747.143908,2.44833421482095,109551938.609271,0.517026610340513,23134614.1929914,5.24781422847408,234816071.560187,493273.0625,9984.5126953125,0.852999985218048,44745500,"Argentina"
"Argentina",2019,"Unbranded",0,155,50,532,848,122,114,17,1838,1838,4,243,"1",1,1,518475,95.3,2780400,73,10.4,49125,5.3,"AR",78.9,21,1.2,111,0.1,"Buenos Aires",183.4,9.9,6942,65114,79.8,112.8,67.8,109.6,10.2,-2.5,285,45196,92,106.5,"Argentina",1,"South America",16.5,74.3,11687.6,2.3,165.6,109.9,"ARS","Argentine Peso","AR",5.13367511037248,229708859.651172,6.02842845771898,269745045.554865,2.14903843158842,3.31650662399365,148398747.143908,2.44833421482095,109551938.609271,0.517026610340513,23134614.1929914,5.24781422847408,234816071.560187,493273.0625,9984.5126953125,0.852999985218048,44745500,"Argentina"
"Argentina",2019,"The Coca-Cola Company",0,0,0,0,222,35,0,0,257,257,4,243,"1",1,1,518475,95.3,2780400,73,10.4,49125,5.3,"AR",78.9,21,1.2,111,0.1,"Buenos Aires",183.4,9.9,6942,65114,79.8,112.8,67.8,109.6,10.2,-2.5,285,45196,92,106.5,"Argentina",1,"South America",16.5,74.3,11687.6,2.3,165.6,109.9,"ARS","Argentine Peso","AR",5.13367511037248,229708859.651172,6.02842845771898,269745045.554865,2.14903843158842,3.31650662399365,148398747.143908,2.44833421482095,109551938.609271,0.517026610340513,23134614.1929914,5.24781422847408,234816071.560187,493273.0625,9984.5126953125,0.852999985218048,44745500,"Argentina"
"Argentina",2019,"Secco",0,0,0,0,39,4,0,0,43,43,4,243,"1",1,1,518475,95.3,2780400,73,10.4,49125,5.3,"AR",78.9,21,1.2,111,0.1,"Buenos Aires",183.4,9.9,6942,65114,79.8,112.8,67.8,109.6,10.2,-2.5,285,45196,92,106.5,"Argentina",1,"South America",16.5,74.3,11687.6,2.3,165.6,109.9,"ARS","Argentine Peso","AR",5.13367511037248,229708859.651172,6.02842845771898,269745045.554865,2.14903843158842,3.31650662399365,148398747.143908,2.44833421482095,109551938.609271,0.517026610340513,23134614.1929914,5.24781422847408,234816071.560187,493273.0625,9984.5126953125,0.852999985218048,44745500,"Argentina"
"Argentina",2019,"Doble Cola",0,0,0,0,38,0,0,0,38,38,4,243,"1",1,1,518475,95.3,2780400,73,10.4,49125,5.3,"AR",78.9,21,1.2,111,0.1,"Buenos Aires",183.4,9.9,6942,65114,79.8,112.8,67.8,109.6,10.2,-2.5,285,45196,92,106.5,"Argentina",1,"South America",16.5,74.3,11687.6,2.3,165.6,109.9,"ARS","Argentine Peso","AR",5.13367511037248,229708859.651172,6.02842845771898,269745045.554865,2.14903843158842,3.31650662399365,148398747.143908,2.44833421482095,109551938.609271,0.517026610340513,23134614.1929914,5.24781422847408,234816071.560187,493273.0625,9984.5126953125,0.852999985218048,44745500,"Argentina"
"Argentina",2019,"Pritty",0,0,0,0,22,7,0,0,29,29,4,243,"1",1,1,518475,95.3,2780400,73,10.4,49125,5.3,"AR",78.9,21,1.2,111,0.1,"Buenos Aires",183.4,9.9,6942,65114,79.8,112.8,67.8,109.6,10.2,-2.5,285,45196,92,106.5,"Argentina",1,"South America",16.5,74.3,11687.6,2.3,165.6,109.9,"ARS","Argentine Peso","AR",5.13367511037248,229708859.651172,6.02842845771898,269745045.554865,2.14903843158842,3.31650662399365,148398747.143908,2.44833421482095,109551938.609271,0.517026610340513,23134614.1929914,5.24781422847408,234816071.560187,493273.0625,9984.5126953125,0.852999985218048,44745500,"Argentina"
"Argentina",2019,"PepsiCo",0,0,0,0,21,6,0,0,27,27,4,243,"1",1,1,518475,95.3,2780400,73,10.4,49125,5.3,"AR",78.9,21,1.2,111,0.1,"Buenos Aires",183.4,9.9,6942,65114,79.8,112.8,67.8,109.6,10.2,-2.5,285,45196,92,106.5,"Argentina",1,"South America",16.5,74.3,11687.6,2.3,165.6,109.9,"ARS","Argentine Peso","AR",5.13367511037248,229708859.651172,6.02842845771898,269745045.554865,2.14903843158842,3.31650662399365,148398747.143908,2.44833421482095,109551938.609271,0.517026610340513,23134614.1929914,5.24781422847408,234816071.560187,493273.0625,9984.5126953125,0.852999985218048,44745500,"Argentina"
"Argentina",2019,"Casoni",0,0,0,0,26,0,0,0,26,26,4,243,"1",1,1,518475,95.3,2780400,73,10.4,49125,5.3,"AR",78.9,21,1.2,111,0.1,"Buenos Aires",183.4,9.9,6942,65114,79.8,112.8,67.8,109.6,10.2,-2.5,285,45196,92,106.5,"Argentina",1,"South America",16.5,74.3,11687.6,2.3,165.6,109.9,"ARS","Argentine Peso","AR",5.13367511037248,229708859.651172,6.02842845771898,269745045.554865,2.14903843158842,3.31650662399365,148398747.143908,2.44833421482095,109551938.609271,0.517026610340513,23134614.1929914,5.24781422847408,234816071.560187,493273.0625,9984.5126953125,0.852999985218048,44745500,"Argentina"
"Argentina",2019,"Villa Del Sur - Levite",0,0,0,0,19,1,0,0,20,20,4,243,"1",1,1,518475,95.3,2780400,73,10.4,49125,5.3,"AR",78.9,21,1.2,111,0.1,"Buenos Aires",183.4,9.9,6942,65114,79.8,112.8,67.8,109.6,10.2,-2.5,285,45196,92,106.5,"Argentina",1,"South America",16.5,74.3,11687.6,2.3,165.6,109.9,"ARS","Argentine Peso","AR",5.13367511037248,229708859.651172,6.02842845771898,269745045.554865,2.14903843158842,3.31650662399365,148398747.143908,2.44833421482095,109551938.609271,0.517026610340513,23134614.1929914,5.24781422847408,234816071.560187,493273.0625,9984.5126953125,0.852999985218048,44745500,"Argentina"
"Argentina",2019,"Manaos",0,0,0,0,14,4,0,0,18,18,4,243,"1",1,1,518475,95.3,2780400,73,10.4,49125,5.3,"AR",78.9,21,1.2,111,0.1,"Buenos Aires",183.4,9.9,6942,65114,79.8,112.8,67.8,109.6,10.2,-2.5,285,45196,92,106.5,"Argentina",1,"South America",16.5,74.3,11687.6,2.3,165.6,109.9,"ARS","Argentine Peso","AR",5.13367511037248,229708859.651172,6.02842845771898,269745045.554865,2.14903843158842,3.31650662399365,148398747.143908,2.44833421482095,109551938.609271,0.517026610340513,23134614.1929914,5.24781422847408,234816071.560187,493273.0625,9984.5126953125,0.852999985218048,44745500,"Argentina"
